Electronegativity, Calculated Radius, First Ionization, Core Configuration, Heat of Vapor, Covalent Radius, Heat of Fusion, Bulk Modulus, Boiling Point, Brinell Hardness, Melting Point, Symbol, STP Density, Young Modulus, Shear Modulus, Vickers Hardness, Name, Common Ions, Second Ionization, Mass, Van der Waals Radius, Specific Heat, Thermal Cond., Third Ionization, Series, Electron Affinity, Atomic Number, Mohs Hardness, Empirical Radius,
1.38,Unknown,597.6,[Rn] 7s2 5f3 6d1,420,Unknown,14,100,4200,2400,1408,U,19050,208,111,1960,Uranium,NA,1420,238.0289,186,116,27,Unknown,Actinoid,Unknown,92,6,175,
1.36,Unknown,604.5,[Rn] 7s2 5f4 6d1,335,Unknown,10,Unknown,4273,Unknown,917,Np,20450,Unknown,Unknown,Unknown,Neptunium,NA,Unknown,-237,Unknown,Unknown,6,Unknown,Actinoid,Unknown,93,Unknown,175,
1.28,Unknown,584.7,[Rn] 7s2 5f6,325,Unknown,Unknown,Unknown,3503,Unknown,913,Pu,19816,96,43,Unknown,Plutonium,NA,Unknown,-244,Unknown,Unknown,6,Unknown,Actinoid,Unknown,94,Unknown,175,
1.3,Unknown,578,[Rn] 7s2 5f7,Unknown,Unknown,Unknown,Unknown,2284,Unknown,1449,Am,Unknown,Unknown,Unknown,Unknown,Americium,NA,Unknown,-243,Unknown,Unknown,10,Unknown,Actinoid,Unknown,95,Unknown,175,
1.3,Unknown,581,[Rn] 7s2 5f7 6d1,Unknown,Unknown,Unknown,Unknown,3383,Unknown,1618,Cm,13510,Unknown,Unknown,Unknown,Curium,NA,Unknown,-247,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,96,Unknown,Unknown,
1.3,Unknown,601,[Rn] 7s2 5f9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1323,Bk,14780,Unknown,Unknown,Unknown,Berkelium,NA,Unknown,-247,Unknown,Unknown,10,Unknown,Actinoid,Unknown,97,Unknown,Unknown,
1.3,Unknown,608,[Rn] 7s2 5f10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1173,Cf,15100,Unknown,Unknown,Unknown,Californium,NA,Unknown,-251,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,98,Unknown,Unknown,
1.3,Unknown,619,[Rn] 7s2 5f11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1133,Es,Unknown,Unknown,Unknown,Unknown,Einsteinium,NA,Unknown,-252,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,99,Unknown,Unknown,
1.3,Unknown,627,[Rn] 7s2 5f12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1800,Fm,Unknown,Unknown,Unknown,Unknown,Fermium,NA,Unknown,-257,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,100,Unknown,Unknown,
1.3,Unknown,635,[Rn] 7s2 5f13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1100,Md,Unknown,Unknown,Unknown,Unknown,Mendelevium,NA,Unknown,-258,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,101,Unknown,Unknown,
1.3,Unknown,642,[Rn] 7s2 5f14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1100,No,Unknown,Unknown,Unknown,Unknown,Nobelium,NA,Unknown,-259,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,102,Unknown,Unknown,
Unknown,Unknown,470,[Rn] 7s2 5f14 7p1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1900,Lr,Unknown,Unknown,Unknown,Unknown,Lawrencium,NA,Unknown,-262,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,103,Unknown,Unknown,
